Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
1622535.0,517121.0,697956.0,39550.0,7555.0,11407.0,4630.0,6415.0,337901.0,Orange,State Board of Equalization 3,State Board of Equalization,2011-02-10
27685.0,8006.0,11639.0,765.0,136.0,222.0,50.0,88.0,6779.0,Orange,Aliso Viejo,City,2011-02-10
145460.0,54829.0,56385.0,3444.0,583.0,839.0,522.0,596.0,28262.0,Orange,Anaheim,City,2011-02-10
24067.0,6898.0,11842.0,602.0,80.0,132.0,39.0,81.0,4393.0,Orange,Brea,City,2011-02-10
38537.0,15247.0,13607.0,957.0,141.0,227.0,162.0,160.0,8036.0,Orange,Buena Park,City,2011-02-10
57484.0,17477.0,23141.0,1779.0,493.0,697.0,187.0,314.0,13396.0,Orange,Costa Mesa,City,2011-02-10
28293.0,9433.0,11699.0,632.0,125.0,190.0,99.0,130.0,5985.0,Orange,Cypress,City,2011-02-10
23749.0,6229.0,11176.0,784.0,153.0,197.0,63.0,114.0,5033.0,Orange,Dana Point,City,2011-02-10
36440.0,10327.0,17024.0,842.0,152.0,213.0,106.0,153.0,7623.0,Orange,Fountain Valley,City,2011-02-10
70361.0,23444.0,29313.0,1596.0,391.0,563.0,242.0,309.0,14503.0,Orange,Fullerton,City,2011-02-10
80040.0,28057.0,31687.0,1802.0,266.0,489.0,343.0,357.0,17039.0,Orange,Garden Grove,City,2011-02-10
128886.0,36116.0,59043.0,3539.0,801.0,1200.0,327.0,665.0,27195.0,Orange,Huntington Beach,City,2011-02-10
113327.0,36195.0,39958.0,2456.0,570.0,751.0,247.0,306.0,32844.0,Orange,Irvine,City,2011-02-10
28019.0,10496.0,10948.0,754.0,126.0,170.0,117.0,96.0,5312.0,Orange,La Habra,City,2011-02-10
8916.0,3197.0,3428.0,180.0,18.0,40.0,35.0,23.0,1995.0,Orange,La Palma,City,2011-02-10
18854.0,7137.0,6644.0,542.0,188.0,171.0,52.0,79.0,4041.0,Orange,Laguna Beach,City,2011-02-10
19570.0,5175.0,9236.0,506.0,101.0,138.0,38.0,80.0,4296.0,Orange,Laguna Hills,City,2011-02-10
42835.0,11352.0,20458.0,1176.0,208.0,291.0,80.0,164.0,9106.0,Orange,Laguna Niguel,City,2011-02-10
14867.0,5892.0,6091.0,369.0,31.0,44.0,8.0,30.0,2402.0,Orange,Laguna Woods,City,2011-02-10
45481.0,12225.0,21683.0,1294.0,179.0,339.0,87.0,149.0,9525.0,Orange,Lake Forest,City,2011-02-10
6946.0,2365.0,2897.0,200.0,39.0,44.0,27.0,32.0,1342.0,Orange,Los Alamitos,City,2011-02-10
62519.0,16575.0,30902.0,1576.0,266.0,372.0,109.0,214.0,12505.0,Orange,Mission Viejo,City,2011-02-10
63644.0,13623.0,35126.0,1555.0,271.0,485.0,102.0,213.0,12269.0,Orange,Newport Beach,City,2011-02-10
71441.0,21253.0,33171.0,1849.0,347.0,573.0,205.0,252.0,13791.0,Orange,Orange,City,2011-02-10
28181.0,8470.0,12982.0,680.0,117.0,193.0,80.0,117.0,5542.0,Orange,Placentia,City,2011-02-10
28844.0,7060.0,14532.0,745.0,103.0,192.0,49.0,80.0,6083.0,Orange,Rancho Santa Margarita,City,2011-02-10
41355.0,9745.0,20744.0,1310.0,235.0,372.0,90.0,188.0,8671.0,Orange,San Clemente,City,2011-02-10
19774.0,5258.0,9816.0,550.0,106.0,149.0,50.0,92.0,3753.0,Orange,San Juan Capistrano,City,2011-02-10
108405.0,57221.0,28995.0,1665.0,403.0,589.0,451.0,343.0,18738.0,Orange,Santa Ana,City,2011-02-10
18645.0,6626.0,8346.0,417.0,104.0,85.0,29.0,60.0,2978.0,Orange,Seal Beach,City,2011-02-10
15115.0,6135.0,5188.0,384.0,56.0,86.0,69.0,116.0,3081.0,Orange,Stanton,City,2011-02-10
35120.0,11259.0,14175.0,782.0,173.0,294.0,115.0,145.0,8177.0,Orange,Tustin,City,2011-02-10
4612.0,829.0,2964.0,66.0,15.0,29.0,2.0,11.0,696.0,Orange,Villa Park,City,2011-02-10
47379.0,14712.0,19702.0,1183.0,167.0,269.0,244.0,243.0,10859.0,Orange,Westminster,City,2011-02-10
43736.0,9559.0,25022.0,941.0,135.0,251.0,77.0,157.0,7594.0,Orange,Yorba Linda,City,2011-02-10
73948.0,18699.0,38392.0,1628.0,276.0,511.0,127.0,258.0,14057.0,Orange,Unincorporated Area,City,2011-02-10
39932.0,12241.0,18779.0,852.0,175.0,326.0,71.0,36.0,7452.0,Placer,County Supervisorial 1,County Supervisorial,2011-02-10
57569.0,16395.0,28584.0,1219.0,267.0,456.0,80.0,42.0,10526.0,Placer,County Supervisorial 2,County Supervisorial,2011-02-10
31990.0,9123.0,15366.0,676.0,293.0,336.0,64.0,72.0,6060.0,Placer,County Supervisorial 3,County Supervisorial,2011-02-10
39543.0,10542.0,20379.0,720.0,186.0,348.0,36.0,44.0,7288.0,Placer,County Supervisorial 4,County Supervisorial,2011-02-10
29950.0,9124.0,12725.0,723.0,340.0,256.0,84.0,101.0,6597.0,Placer,County Supervisorial 5,County Supervisorial,2011-02-10
198984.0,57425.0,95833.0,4190.0,1261.0,1722.0,335.0,295.0,37923.0,Placer,US Congressional 4,US Congressional,2011-02-10
116636.0,34553.0,54434.0,2482.0,826.0,1034.0,208.0,207.0,22892.0,Placer,State Senate 1,State Senate,2011-02-10
82348.0,22872.0,41399.0,1708.0,435.0,688.0,127.0,88.0,15031.0,Placer,State Senate 4,State Senate,2011-02-10
17055.0,4707.0,8145.0,413.0,169.0,141.0,41.0,61.0,3378.0,Placer,State Assembly 3,State Assembly,2011-02-10
167885.0,49488.0,79714.0,3564.0,1030.0,1463.0,283.0,216.0,32127.0,Placer,State Assembly 4,State Assembly,2011-02-10
14044.0,3230.0,7974.0,213.0,62.0,118.0,11.0,18.0,2418.0,Placer,State Assembly 5,State Assembly,2011-02-10
198984.0,57425.0,95833.0,4190.0,1261.0,1722.0,335.0,295.0,37923.0,Placer,State Board of Equalization 2,State Board of Equalization,2011-02-10
8408.0,2684.0,3593.0,165.0,110.0,99.0,17.0,20.0,1720.0,Placer,Auburn,City,2011-02-10
916.0,270.0,351.0,43.0,16.0,13.0,3.0,1.0,219.0,Placer,Colfax,City,2011-02-10
23876.0,7167.0,11825.0,510.0,58.0,134.0,23.0,12.0,4147.0,Placer,Lincoln,City,2011-02-10
4090.0,1046.0,2093.0,81.0,33.0,48.0,4.0,4.0,781.0,Placer,Loomis,City,2011-02-10
30752.0,8420.0,15229.0,624.0,208.0,298.0,63.0,21.0,5889.0,Placer,Rocklin,City,2011-02-10
64072.0,19231.0,30234.0,1341.0,285.0,552.0,90.0,56.0,12283.0,Placer,Roseville,City,2011-02-10
66870.0,18607.0,32508.0,1426.0,551.0,578.0,135.0,181.0,12884.0,Placer,Unincorporated Area,City,2011-02-10
2408.0,709.0,1020.0,118.0,13.0,16.0,10.0,0.0,522.0,Plumas,County Supervisorial 1,County Supervisorial,2011-02-10
2401.0,850.0,902.0,111.0,25.0,30.0,6.0,0.0,477.0,Plumas,County Supervisorial 2,County Supervisorial,2011-02-10
2327.0,660.0,1186.0,95.0,3.0,13.0,6.0,0.0,364.0,Plumas,County Supervisorial 3,County Supervisorial,2011-02-10
2538.0,912.0,986.0,130.0,30.0,14.0,10.0,0.0,456.0,Plumas,County Supervisorial 4,County Supervisorial,2011-02-10
3241.0,1037.0,1471.0,119.0,21.0,21.0,3.0,0.0,569.0,Plumas,County Supervisorial 5,County Supervisorial,2011-02-10
12915.0,4168.0,5565.0,573.0,92.0,94.0,35.0,0.0,2388.0,Plumas,US Congressional 4,US Congressional,2011-02-10
12915.0,4168.0,5565.0,573.0,92.0,94.0,35.0,0.0,2388.0,Plumas,State Senate 1,State Senate,2011-02-10
12915.0,4168.0,5565.0,573.0,92.0,94.0,35.0,0.0,2388.0,Plumas,State Assembly 3,State Assembly,2011-02-10
12915.0,4168.0,5565.0,573.0,92.0,94.0,35.0,0.0,2388.0,Plumas,State Board of Equalization 2,State Board of Equalization,2011-02-10
1074.0,378.0,347.0,56.0,12.0,11.0,7.0,0.0,263.0,Plumas,Portola,City,2011-02-10
